region_acronym,region_name,cell_count,left_count,right_count
GRN,Gigantocellular reticular nucleus,2610,1052,1558
MOs1,"Secondary motor area, layer 1",1625,761,864
MY,Medulla,1535,783,752
RN,Red nucleus,1326,829,497
PRNr,Pontine reticular nucleus,1146,552,594
PIR,Piriform area,1078,1029,49
MDRNv,"Medullary reticular nucleus, ventral part",1077,475,602
PRNc,"Pontine reticular nucleus, caudal part",926,490,436
OLF,Olfactory areas,868,274,594
MOp5,"Primary motor area, Layer 5",853,809,44
MRN,Midbrain reticular nucleus,840,440,400
SSp-ul5,"Primary somatosensory area, upper limb, layer 5",743,733,10
IRN,Intermediate reticular nucleus,721,258,463
AON,Anterior olfactory nucleus,692,91,601
AId1,"Agranular insular area, dorsal part, layer 1",638,477,161
P,Pons,627,420,207
OT,Olfactory tubercle,559,462,97
TU,Tuberal nucleus,525,471,54
ARH,Arcuate hypothalamic nucleus,516,226,290
PAG,Periaqueductal gray,504,181,323
FRP1,"Frontal pole, layer 1",481,147,334
ME,Median eminence,475,232,243
HY,Hypothalamus,461,245,216
RSPagl1,"Retrosplenial area, lateral agranular part, layer 1",435,428,7
RSPd1,"Retrosplenial area, dorsal part, layer 1",429,428,1
root,root,411,341,70
MB,Midbrain,385,166,219
COApl,"Cortical amygdalar area, posterior part, lateral zone",351,320,31
XII,Hypoglossal nucleus,347,181,166
MOs5,"Secondary motor area, layer 5",347,320,27
MOB,Main olfactory bulb,332,21,311
PVp,"Periventricular hypothalamic nucleus, posterior part",304,187,117
MDRNd,"Medullary reticular nucleus, dorsal part",297,125,172
TTv,"Taenia tecta, ventral part",297,77,220
PPN,Pedunculopontine nucleus,282,118,164
LRNm,"Lateral reticular nucleus, magnocellular part",280,122,158
fiber tracts,fiber tracts,276,193,83
AOBgl,"Accessory olfactory bulb, glomerular layer",276,0,276
VISam1,"Anteromedial visual area, layer 1",275,275,0
ORBm1,"Orbital area, medial part, layer 1",274,209,65
SSp-ll5,"Primary somatosensory area, lower limb, layer 5",273,258,15
PGRNl,"Paragigantocellular reticular nucleus, lateral part",236,78,158
RM,Nucleus raphe magnus,231,93,138
VISa1,"Anterior area, layer 1",228,228,0
RSPagl2/3,"Retrosplenial area, lateral agranular part, layer 2/3",226,226,0
VISpm1,"posteromedial visual area, layer 1",225,225,0
tspc,crossed tectospinal pathway,213,31,182
ml,medial lemniscus,211,79,132
lot,"lateral olfactory tract, body",196,118,78
MARN,Magnocellular reticular nucleus,180,66,114
RCH,Retrochiasmatic area,173,169,4
ANcr2,Crus 2,167,167,0
VISam2/3,"Anteromedial visual area, layer 2/3",158,158,0
COAa,"Cortical amygdalar area, anterior part",156,144,12
SPVC,"Spinal nucleus of the trigeminal, caudal part",146,36,110
NTS,Nucleus of the solitary tract,143,88,55
AIv1,"Agranular insular area, ventral part, layer 1",140,139,1
SSp-tr5,"Primary somatosensory area, trunk, layer 5",139,135,4
PL1,"Prelimbic area, layer 1",136,63,73
MOp6a,"Primary motor area, Layer 6a",135,116,19
LHA,Lateral hypothalamic area,126,55,71
SSs5,"Supplemental somatosensory area, layer 5",117,113,4
DMH,Dorsomedial nucleus of the hypothalamus,113,22,91
UVU,Uvula (IX),106,31,75
TTd,"Taenia tecta, dorsal part",105,1,104
tb,trapezoid body,100,72,28
INC,Interstitial nucleus of Cajal,99,32,67
och,optic chiasm,98,70,28
MOp1,"Primary motor area, Layer 1",91,90,1
PAA,Piriform-amygdalar area,90,75,15
AHN,Anterior hypothalamic nucleus,90,76,14
NR,Nucleus of Roller,86,37,49
MOs6a,"Secondary motor area, layer 6a",81,71,10
mlf,medial longitudinal fascicle,77,37,40
VISa2/3,"Anterior area, layer 2/3",77,76,1
DMX,Dorsal motor nucleus of the vagus nerve,74,45,29
ACAd5,"Anterior cingulate area, dorsal part, layer 5",73,60,13
VMH,Ventromedial hypothalamic nucleus,72,58,14
RO,Nucleus raphe obscurus,71,29,42
ND,Nucleus of Darkschewitsch,70,26,44
arb,arbor vitae,69,34,35
RSPv1,"Retrosplenial area, ventral part, layer 1",66,66,0
SSp-tr1,"Primary somatosensory area, trunk, layer 1",64,64,0
RSPd2/3,"Retrosplenial area, dorsal part, layer 2/3",62,61,1
CU,Cuneate nucleus,61,26,35
COApm,"Cortical amygdalar area, posterior part, medial zone",60,57,3
PH,Posterior hypothalamic nucleus,59,15,44
RSPagl5,"Retrosplenial area, lateral agranular part, layer 5",56,50,6
"CUL4, 5",Lobules IV-V,55,32,23
SIM,Simple lobule,53,44,9
EW,Edinger-Westphal nucleus,50,18,32
PFL,Paraflocculus,50,50,0
SSp-m1,"Primary somatosensory area, mouth, layer 1",50,50,0
opt,optic tract,49,11,38
PVi,"Periventricular hypothalamic nucleus, intermediate part",49,0,49
